Food,Serving Size (1 Portion),Calories,Protein (g),Fat (g),Carbs (g),Sodium (mg),Potassium (mg),Source
grilled_cheese_sandwich,3.32 oz,330,11,16,34,800,130,"https://www.eatthismuch.com/nutrition/grilled-cheese-sandwich,541032"
grilled_salmon,3.50 oz,749,50,19,95,1623,0,"https://www.eatthismuch.com/nutrition/grilled-salmon,186845"
guacamole,0.92 oz,55,1,5,2,128,--,"https://www.eatthismuch.com/nutrition/guacamole,607893"
gyoza,5.00 oz,390,10,22,37,620,--,"https://www.eatthismuch.com/nutrition/gyoza,2099528"
,,,,,,,,
hamburger,4.59 oz,300,19,13,27,650,--,"https://www.eatthismuch.com/food/nutrition/hamburger,593751/"
hot_and_sour_soup,8.01 oz,70,4,2,9,1440,0,"https://www.eatthismuch.com/food/nutrition/hot-and-sour-soup,192366/"
hot_dog,3.88 oz,290,11,17,22,900,--,"https://www.eatthismuch.com/food/nutrition/hot-dog,446922/"
huevos_rancheros,6.00 oz,320,12,12,39,330,320,"https://www.eatthismuch.com/food/nutrition/huevos-rancheros,4168506/"
hummus,3.50 oz,198,9,11,23,454,0,"https://www.eatthismuch.com/food/nutrition/hummus,200471/"
,,,,,,,,
ice_cream,3.50 oz ,250,3,13,29,105,--,"https://www.eatthismuch.com/food/nutrition/ice-cream,178083/"
,,,,,,,,
lasagna,3.50 oz,429,29,23,26,1205,--,"https://www.eatthismuch.com/food/nutrition/lasagna,188497/"
lobster_bisque,12.00 oz,460,16,32,28,1600,--,"https://www.eatthismuch.com/food/nutrition/lobster-bisque,610704/"
lobster_roll_sandwich,6.98 oz,410,22,30,31,860,--,"https://www.eatthismuch.com/food/nutrition/lobster-roll-sandwich-box-catering,2896679/"
,,,,,,,,
macaroni_and_cheese,3.50 oz,156,7,8,13,434,--,"https://www.eatthismuch.com/food/nutrition/macaroni-and-cheese,202133/"
macarons,16.00 oz,230,2,7,42,110,--,"https://www.eatthismuch.com/food/nutrition/macaroon,1584332/"
miso_soup,3.50 oz,85,3.5,3,11,0,--,"https://www.eatthismuch.com/food/nutrition/miso-soup,200960/"
mussels,2.00 oz,50,7,1.5,2,160,--,"https://www.eatthismuch.com/food/nutrition/mussels,1789023/"
,,,,,,,,
nachos,6.00 oz,539,9,28,66,890,--,"https://www.eatthismuch.com/food/nutrition/nachos,609946/"
,,,,,,,,
omelette,3.50 oz,249,12,21,3,385,0,"https://www.eatthismuch.com/food/nutrition/omelet,188462/"
onion_rings,4.66 oz ,420,6,21,52,1740,--,"https://www.eatthismuch.com/food/nutrition/onion-rings,610021/"
oysters,3.50 oz,290,17,14,22,0,0,"https://www.eatthismuch.com/food/nutrition/oysters,196696/"
,,,,,,,,
pad_thai,10 oz ,560,14,16,70,770,--,"https://www.eatthismuch.com/food/nutrition/pad-thai,1983130/"
paella,14.11 oz,540,19.6,20,68,1200,--,"https://www.eatthismuch.com/food/nutrition/paella,200534/"
pancakes,4.10 oz,280,7,8,44,500,--,"https://www.eatthismuch.com/food/nutrition/pancakes,576889/"
panna_cotta,2.65 oz,200,3,10,25,50,100,"https://www.eatthismuch.com/food/nutrition/panna-cotta-caramel,2891827/"
peking_duck,3.50 oz,749,31,19,115,1756,--,"https://www.eatthismuch.com/food/nutrition/peking-duck,170875/"
pho,3.50 oz,134,2,2,27,1211,--,"https://www.eatthismuch.com/food/nutrition/pho-noodle-bowl,191627/"
pizza,7.27 oz,520,22,30.9,38.9,710,--,"https://www.eatthismuch.com/food/nutrition/pizza,201337/"
pork_chop,7.94 oz ,560,32,22,56,1430,--,"https://www.eatthismuch.com/food/nutrition/pork-chop,190748/"
poutine,2.94 oz ,839,25,43,87,1896,--,"https://www.eatthismuch.com/food/nutrition/poutine,609214/"
prime_rib,7.90 oz,440,41,29,1,2965,--,"https://www.eatthismuch.com/food/nutrition/prime-rib,193849/"
pulled_pork_sandwich,3.50 oz ,558,36,25,48,639,--,"https://www.eatthismuch.com/food/nutrition/pulled-pork-sandwich,184721/"
,,,,,,,,
ramen,2.61 oz,330,7,13,45,1980,--,"https://www.eatthismuch.com/food/nutrition/ramen,1857312/"
ravioli,10.58 oz ,140,7,2,25,1330,--,"https://www.eatthismuch.com/food/nutrition/ravioli,177307/"
red_velvet_cake,3.50 oz,770,7,41,95,370,--,"https://www.eatthismuch.com/food/nutrition/red-velvet-cake,201019/"
risotto,2.99 oz,330,8,7,58,600,--,"https://www.eatthismuch.com/food/nutrition/risotto,1959888/"
,,,,,,,,
samosa,3.50 oz,333,9,17,45,813,--,"https://www.eatthismuch.com/food/nutrition/samosas,201102/"
sashimi,5.00 oz,200,32,8,0,75,--,"https://www.eatthismuch.com/food/nutrition/sashimi,3344511/"
scallops,5.00 oz,240,22.2,8.8,14.4,0,--,"https://www.eatthismuch.com/food/nutrition/scallops,196693/"
seaweed_salad,3.50 oz,130,3,4.5,23,880,--,"https://www.eatthismuch.com/food/nutrition/seaweed-salad,202541/"
shrimp_and_grits,15.06 oz,390,36,8,40,890,--,"https://www.eatthismuch.com/food/nutrition/shrimp-and-grits,3332747/"
spaghetti_bolognese,11.99 oz ,540,26,23,55,900,460,"https://www.eatthismuch.com/food/nutrition/spaghetti-bolognese,1807210/"
spaghetti_carbonara,11.28 oz,310,12.8,9.6,35.2,0,--,"https://www.eatthismuch.com/food/nutrition/spaghetti-carbonara,198770/"
spring_rolls,3.50 oz,120,3,5,13,300,--,"https://www.eatthismuch.com/food/nutrition/spring-rolls,169635/"
steak,3.50 oz,451,37,32,2,0,--,"https://www.eatthismuch.com/food/nutrition/steak,202269/"
strawberry_shortcake,11.30 oz,500,4,14,95,790,--,"https://www.eatthismuch.com/food/nutrition/strawberry-shortcake,593863/"
sushi,1 serving (9 pc),410,8,15,57,680,--,"https://www.eatthismuch.com/food/nutrition/sushi,2214932/"
,,,,,,,,
tacos,3.50 oz,278,13,15,20,520,--,"https://www.eatthismuch.com/food/nutrition/taco,195706/ "
takoyaki,1.00 oz,140,1,7,18,160,30,"https://www.eatthismuch.com/food/nutrition/takoyaki-ball,2725084/ "
tiramisu,0.71 oz,820,11,50,74,150,--,"https://www.eatthismuch.com/food/nutrition/tiramisu,197108/ "
tuna_tartare,12.45 oz,600,36,31,50,880,--,"https://www.eatthismuch.com/food/nutrition/tuna-tartare,2225589/ "
,,,,,,,,
waffles,1.40 oz,120,2,6,15,180,--,"https://www.eatthismuch.com/food/nutrition/waffles,575453/ "
