Food,Serving Size (1 Portion),Calories,Protein (g),Fat (g),Carbs (g),Sodium (mg),Potassium (mg),Source,food_idx
French toast,2 slices,298.0,10.0,14.0,33.0,623,174,"https://www.eatthismuch.com/calories/french-toast,4188?a=2%3A2",french_toast
Fried calamari,9 oz,534.0,24.0,27.0,45.0,1331,0,"https://www.eatthismuch.com/calories/fried-calamari,3148018?a=0.25%3A0",fried_calamari
Fried rice,9 oz,390.0,16.0,12.0,48.0,165,497,"https://www.eatthismuch.com/calories/fried-rice,33939?a=0.5%3A0",fried_rice
Frozen yogurt,3.50 oz,190.0,5.0,7.0,29.0,71,0,"https://www.eatthismuch.com/calories/frozen-yogurt,188770",frozen_yogurt
Garlic bread,1.83 oz,218.0,3.0,16.0,16.0,386,0,"https://www.eatthismuch.com/nutrition/garlic-bread,186014",garlic_bread
Gnocchi,12.10 oz,500.0,5.0,0.0,13.0,10,0,"https://www.eatthismuch.com/nutrition/gnocchi,2659870",gnocchi
Greek salad,21.38 oz,628.0,13.0,45.0,50.0,1526,0,"https://www.eatthismuch.com/nutrition/greek-salad,198867",greek_salad
Grilled cheese sandwich,3.32 oz,330.0,11.0,16.0,34.0,800,130,"https://www.eatthismuch.com/nutrition/grilled-cheese-sandwich,541032",grilled_cheese_sandwich
Grilled salmon,3.50 oz,749.0,50.0,19.0,95.0,1623,0,"https://www.eatthismuch.com/nutrition/grilled-salmon,186845",grilled_salmon
Guacamole,0.92 oz,55.0,1.0,5.0,2.0,128,0,"https://www.eatthismuch.com/nutrition/guacamole,607893",guacamole
Gyoza,5.00 oz,390.0,10.0,22.0,37.0,620,0,"https://www.eatthismuch.com/nutrition/gyoza,2099528",gyoza
Hamburger,4.59 oz,300.0,19.0,13.0,27.0,650,0,"https://www.eatthismuch.com/food/nutrition/hamburger,593751/",hamburger
Hot and sour soup,8.01 oz,70.0,4.0,2.0,9.0,1440,0,"https://www.eatthismuch.com/food/nutrition/hot-and-sour-soup,192366/",hot_and_sour_soup
Hot dog,3.88 oz,290.0,11.0,17.0,22.0,900,0,"https://www.eatthismuch.com/food/nutrition/hot-dog,446922/",hot_dog
Huevos rancheros,6.00 oz,320.0,12.0,12.0,39.0,330,320,"https://www.eatthismuch.com/food/nutrition/huevos-rancheros,4168506/",huevos_rancheros
Hummus,3.50 oz,198.0,9.0,11.0,23.0,454,0,"https://www.eatthismuch.com/food/nutrition/hummus,200471/",hummus
Ice cream,3.50 oz ,250.0,3.0,13.0,29.0,105,0,"https://www.eatthismuch.com/food/nutrition/ice-cream,178083/",ice_cream
Lasagna,3.50 oz,429.0,29.0,23.0,26.0,1205,0,"https://www.eatthismuch.com/food/nutrition/lasagna,188497/",lasagna
Lobster bisque,12.00 oz,460.0,16.0,32.0,28.0,1600,0,"https://www.eatthismuch.com/food/nutrition/lobster-bisque,610704/",lobster_bisque
Lobster roll sandwich,6.98 oz,410.0,22.0,30.0,31.0,860,0,"https://www.eatthismuch.com/food/nutrition/lobster-roll-sandwich-box-catering,2896679/",lobster_roll_sandwich
Macaroni and cheese,3.50 oz,156.0,7.0,8.0,13.0,434,0,"https://www.eatthismuch.com/food/nutrition/macaroni-and-cheese,202133/",macaroni_and_cheese
Macarons,16.00 oz,230.0,2.0,7.0,42.0,110,0,"https://www.eatthismuch.com/food/nutrition/macaroon,1584332/",macarons
Miso soup,3.50 oz,85.0,3.5,3.0,11.0,0,0,"https://www.eatthismuch.com/food/nutrition/miso-soup,200960/",miso_soup
Mussels,2.00 oz,50.0,7.0,1.5,2.0,160,0,"https://www.eatthismuch.com/food/nutrition/mussels,1789023/",mussels
Nachos,6.00 oz,539.0,9.0,28.0,66.0,890,0,"https://www.eatthismuch.com/food/nutrition/nachos,609946/",nachos
Omelette,3.50 oz,249.0,12.0,21.0,3.0,385,0,"https://www.eatthismuch.com/food/nutrition/omelet,188462/",omelette
Onion rings,4.66 oz ,420.0,6.0,21.0,52.0,1740,0,"https://www.eatthismuch.com/food/nutrition/onion-rings,610021/",onion_rings
Oysters,3.50 oz,290.0,17.0,14.0,22.0,0,0,"https://www.eatthismuch.com/food/nutrition/oysters,196696/",oysters
Pad thai,10 oz ,560.0,14.0,16.0,70.0,770,0,"https://www.eatthismuch.com/food/nutrition/pad-thai,1983130/",pad_thai
Paella,14.11 oz,540.0,19.6,20.0,68.0,1200,0,"https://www.eatthismuch.com/food/nutrition/paella,200534/",paella
Pancakes,4.10 oz,280.0,7.0,8.0,44.0,500,0,"https://www.eatthismuch.com/food/nutrition/pancakes,576889/",pancakes
Panna cotta,2.65 oz,200.0,3.0,10.0,25.0,50,100,"https://www.eatthismuch.com/food/nutrition/panna-cotta-caramel,2891827/",panna_cotta
Peking duck,3.50 oz,749.0,31.0,19.0,115.0,1756,0,"https://www.eatthismuch.com/food/nutrition/peking-duck,170875/",peking_duck
Pho,3.50 oz,134.0,2.0,2.0,27.0,1211,0,"https://www.eatthismuch.com/food/nutrition/pho-noodle-bowl,191627/",pho
Pizza,7.27 oz,520.0,22.0,30.9,38.9,710,0,"https://www.eatthismuch.com/food/nutrition/pizza,201337/",pizza
Pork chop,7.94 oz ,560.0,32.0,22.0,56.0,1430,0,"https://www.eatthismuch.com/food/nutrition/pork-chop,190748/",pork_chop
Poutine,2.94 oz ,839.0,25.0,43.0,87.0,1896,0,"https://www.eatthismuch.com/food/nutrition/poutine,609214/",poutine
Prime rib,7.90 oz,440.0,41.0,29.0,1.0,2965,0,"https://www.eatthismuch.com/food/nutrition/prime-rib,193849/",prime_rib
Pulled pork sandwich,3.50 oz ,558.0,36.0,25.0,48.0,639,0,"https://www.eatthismuch.com/food/nutrition/pulled-pork-sandwich,184721/",pulled_pork_sandwich
Ramen,2.61 oz,330.0,7.0,13.0,45.0,1980,0,"https://www.eatthismuch.com/food/nutrition/ramen,1857312/",ramen
Ravioli,10.58 oz ,140.0,7.0,2.0,25.0,1330,0,"https://www.eatthismuch.com/food/nutrition/ravioli,177307/",ravioli
Red velvet cake,3.50 oz,770.0,7.0,41.0,95.0,370,0,"https://www.eatthismuch.com/food/nutrition/red-velvet-cake,201019/",red_velvet_cake
Risotto,2.99 oz,330.0,8.0,7.0,58.0,600,0,"https://www.eatthismuch.com/food/nutrition/risotto,1959888/",risotto
Samosa,3.50 oz,333.0,9.0,17.0,45.0,813,0,"https://www.eatthismuch.com/food/nutrition/samosas,201102/",samosa
Sashimi,5.00 oz,200.0,32.0,8.0,0.0,75,0,"https://www.eatthismuch.com/food/nutrition/sashimi,3344511/",sashimi
Scallops,5.00 oz,240.0,22.2,8.8,14.4,0,0,"https://www.eatthismuch.com/food/nutrition/scallops,196693/",scallops
Seaweed salad,3.50 oz,130.0,3.0,4.5,23.0,880,0,"https://www.eatthismuch.com/food/nutrition/seaweed-salad,202541/",seaweed_salad
